Satisfaction;derniere_evaluation;Nombre_de_projets;Nombre_heures_mensuelles_moyenne;Temps_passe_dans_entreprise;Accident_du travail;depart;promotion_5_dernieres_annees;Service;niveau_salaire
0.45;0.54;2;135;3;0;1;0;sales;low
0.11;0.81;6;305;4;0;1;0;sales;low
0.84;0.92;4;234;5;0;1;0;sales;low
0.41;0.55;2;148;3;0;1;0;sales;low
0.36;0.56;2;137;3;0;1;0;sales;low
0.38;0.54;2;143;3;0;1;0;sales;low
0.45;0.47;2;160;3;0;1;0;sales;low
0.78;0.99;4;255;6;0;1;0;sales;low
0.45;0.51;2;160;3;1;1;1;sales;low
0.76;0.89;5;262;5;0;1;0;sales;low
0.44;0.51;2;156;3;0;1;0;technical;high
0.09;0.8;7;283;5;0;1;0;technical;low
0.92;0.87;4;226;6;1;1;0;technical;medium
0.74;0.91;4;232;5;0;1;0;technical;medium
0.09;0.82;6;249;4;0;1;0;technical;medium
0.89;0.95;4;275;5;0;1;0;technical;medium
0.1;0.86;6;278;4;0;1;0;technical;high
0.81;1;4;253;5;0;1;0;technical;low
0.11;0.8;6;282;4;0;1;0;technical;medium
0.11;0.84;7;264;4;0;1;0;technical;medium
